year,ctrycode,resid_roe,resid_int
2013,ML,-.050465386,-55.958931
2014,ML,,
2015,ML,-4.9244604,-47.80632
2016,ML,-2.564394,-50.775684
2017,ML,-6.9408722,-47.698524
2018,ML,-1.6346265,-47.629131
2019,ML,-7.2865934,-45.162563
2020,ML,-7.4652348,-46.700283
2021,ML,,
2017,MM,-7.5850692,-44.199081
2018,MM,-7.4615574,-40.631317
2019,MM,-8.4016981,-35.271179
2020,MM,,
2021,MM,,
2013,MN,,
2014,MN,,
2015,MN,-2.359242,-39.420895
2016,MN,-3.0766859,-48.935223
2017,MN,-5.7554159,-47.350689
2018,MN,-8.1959658,-26.866529
2019,MN,-9.7748146,-25.773491
2020,MN,-7.6027355,-15.529322
2021,MN,-2.7805374,.60484672
2018,MO,.44319409,-6.3109899
2020,MO,4.9553332,-21.247375
2021,MO,-4.8839383,-10.444134
2015,MT,-5.2966075,.98968029
2016,MT,-.39087254,-5.0728059
2017,MT,-4.8791137,-2.9790351
2018,MT,-1.5789667,-4.5046034
2019,MT,-3.0434587,-.7278648
2020,MT,-8.4657583,-4.3934822
2021,MT,-5.5353007,-3.089083
2013,MU,-3.0447531,-30.618441
2014,MU,-2.6533167,-28.759371
2015,MU,-5.9508424,-24.649492
2016,MU,-4.1259403,-28.445366
2017,MU,-4.2179141,-27.86602
2018,MU,-4.3424106,-25.77636
2019,MU,-5.8794036,-24.919603
2020,MU,-8.8224659,-23.983084
2021,MU,-7.9517436,-22.410788
2013,MW,7.3904281,-56.589478
2014,MW,7.5575452,-54.764725
2015,MW,3.8572323,-54.514111
2016,MW,-8.8121023,-60.063377
2017,MW,,
2018,MW,,
2019,MW,,
2020,MW,,
2021,MW,,
2013,MX,-.26707914,-18.380713
2014,MX,.68708968,-18.446451
2015,MX,1.8820865,-8.4917974
2016,MX,3.092767,-13.081181
2017,MX,2.5547893,-21.170805
2018,MX,2.4722893,-18.210974
2019,MX,2.311002,-6.799005
2020,MX,-.35915735,-6.8258972
2021,MX,.34169337,-2.8120487
2013,MY,-8.1901436,-12.844532
2014,MY,-8.5103769,-9.0691538
2015,MY,-9.7046776,-2.7601025
2016,MY,-9.7918024,-1.4019606
2017,MY,-9.3915691,-1.8727108
2018,MY,-9.2837782,-2.8306255
2019,MY,-8.8436432,-1.4671047
2020,MY,-8.4703016,.058860272
2021,MY,-6.7838631,4.7106805
2013,MZ,-12.81803,-55.638165
2014,MZ,-13.837206,-55.273632
2015,MZ,-17.47957,-55.477978
2016,MZ,-14.590409,-59.615425
2017,MZ,-14.557123,-61.745216
2018,MZ,-9.9731274,-59.471111
2019,MZ,-9.158391,-60.048489
2020,MZ,-9.3490953,-60.699234
2021,MZ,-8.4299583,-63.620064
2013,NA,.28795338,-53.436836
2014,NA,-.41470462,-53.870045
2015,NA,2.1087921,-44.323246
2016,NA,2.8668699,-46.166954
2017,NA,-1.6571677,-42.084778
2018,NA,-2.3466737,-37.214642
2019,NA,-2.56604,-33.063629
2020,NA,-2.7880425,-27.020779
2021,NA,,
2013,NE,,
2015,NE,5.8330469,-58.411591
2016,NE,-15.324547,-60.827461
